Code,Description
2040,The Square Breakfast Package            
9001,Check                                   
9004,Deposit Transfer at C/I                 
9003,Accor advantage plus Marketing India Pvt
9104,552260500041432005/21                   
9000,Cash                                    
9102,37912149864100701/22                    
9100,411911009275106103/25                   
8100,Balance Transfer Credit                 
8000,Paid Out                                
7318,"CGST - 14 % MB, S Beve                  "
7319,"SGST - 14 % MB, Soft Bev                "
7320,CESS -12% Minibar                       
9162,Micros Visa                             
7652,F&B Tips                                
9160,Micros Cash                             
9163,Micros Amex                             
9166,Micros Euro/Master Card                 
6106,Adjustment The Square Liquor            
