mobile_name,features,price,offer
"Redmi 7A (Matte Blue, 32 GB)",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,"₹6,199",11% off
"Realme 3i (Diamond Red, 64 GB)",13.84 cm (5.45 inch) HD+ Display,"₹9,999",9% off
"Realme 3i (Diamond Blue, 64 GB)",12MP Rear Camera | 5MP Front Camera,"₹9,999",9% off
"Kult Beyond (Black, 32 GB)",4000 mAh Li-Polymer Battery,"₹4,999",37% off
"Realme 3i (Diamond Blue, 32 GB)",Qualcomm Snapdragon 439 Processor,"₹7,999",11% off
"Realme 3i (Diamond Black, 32 GB)",Brand Warranty of 2 Years Available for Mobile and 6 Months for Accessories,"₹7,999",11% off
"Realme C2 (Diamond Blue, 16 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,"₹5,999",14% off
"Realme C2 (Diamond Black, 16 GB)",15.8 cm (6.22 inch) HD+ Display,"₹5,999",14% off
"Realme 3i (Diamond Black, 64 GB)",13MP + 2MP | 13MP Front Camera,"₹9,999",9% off
"Redmi 7A (Matte Black, 32 GB)",4230 mAh Battery,"₹6,199",11% off
"Vivo Z1x (Fusion Blue, 64 GB)",MediaTek Helio P60 Octa Core 2.0 GHz Processor,"₹16,990",15% off
"Vivo Z1x (Phantom Purple, 128 GB)",Triple Slots (Dual SIM + Memory Card),"₹18,990",9% off
"Vivo Z1x (Phantom Purple, 64 GB)",Fingerprint Sensor and Face Unlock,"₹16,990",15% off
Detel D1 Guru,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,₹499,58% off
"Realme 2 Pro (Black Sea, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,"₹12,990",18% off
"Realme 2 Pro (Blue Ocean, 64 GB)",15.8 cm (6.22 inch) HD+ Display,"₹10,990",21% off
"Realme 2 Pro (Black Sea, 64 GB)",13MP + 2MP | 13MP Front Camera,"₹10,990",21% off
"Redmi Note 7S (Sapphire Blue, 64 GB)",4230 mAh Battery,"₹11,999",14% off
"Realme 2 Pro (Ice Lake, 64 GB)",MediaTek Helio P60 Octa Core 2.0 GHz Processor,"₹10,990",21% off
"Kult Gladiator (Black, 32 GB)",Triple Slots (Dual SIM + Memory Card),"₹4,999",37% off
"Redmi Note 7S (Sapphire Blue, 32 GB)",Fingerprint Sensor and Face Unlock,"₹9,999",16% off
"Realme 5 (Crystal Purple, 128 GB)",Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"₹11,999",7% off
"Realme 5 (Crystal Purple, 64 GB)",3 GB RAM | 32 GB ROM |,"₹10,999",8% off
"Redmi Note 5 Pro (Rose Gold, 64 GB)",13.21 cm (5.2 inch) Display,"₹13,700",23% off
"Vivo Z1Pro (Sonic Black, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,"₹17,990",14% off
"Vivo Z1Pro (Sonic Blue, 128 GB)",16.59 cm (6.53 inch) FHD+ Display,"₹17,990",14% off
"Vivo Z1Pro (Sonic Blue, 64 GB)",16MP + 8MP + 2MP | 32MP Front Camera,"₹14,990",6% off
"Redmi Note 7S (Onyx Black, 32 GB)",5000 mAh Battery,"₹9,999",16% off
"Realme C2 (Diamond Blue, 32 GB)",Qualcomm Snapdragon 712 AIE Octa Core 2.3GHz Processor,"₹7,999",11% off
"Kult Beyond (Black, 32 GB)",Triple Card Slot,"₹4,999",37% off
"Realme C2 (Diamond Black, 32 GB)",Fast Charging,"₹7,999",11% off
"Vivo Z1Pro (Sonic Blue, 64 GB)",Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"₹16,990",5% off
"Redmi Note 7 Pro (Space Black, 64 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,"₹13,999",12% off
Detel D1 Guru,16.59 cm (6.53 inch) FHD+ Display,₹499,58% off
"Realme 3 (Dynamic Black, 64 GB)",16MP + 8MP + 2MP | 32MP Front Camera,"₹10,999",15% off
"Realme 3 (Radiant Blue, 64 GB)",5000 mAh Battery,"₹10,999",15% off
"Realme 3 (Diamond Red, 64 GB)",Qualcomm Snapdragon 712 AIE Octa Core 2.3GHz Processor,"₹10,999",15% off
"Realme 3 (Dynamic Black, 64 GB)",Triple Card Slot,"₹9,999",16% off
"Realme 3 (Radiant Blue, 32 GB)",Fast Charging,"₹8,999",18% off
"Kult Gladiator (Black, 32 GB)",Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"₹4,999",37% off
"Redmi Note 7 Pro (Neptune Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,"₹13,999",12% off
Lava A1,16.59 cm (6.53 inch) FHD+ Display,₹829,17% off
Lava A1,16MP + 8MP + 2MP | 32MP Front Camera,₹759,24% off
"Redmi Note 5 Pro (Rose Gold, 64 GB)",5000 mAh Battery,"₹13,700",23% off
Lava A1,Qualcomm Snapdragon 712 AIE Octa Core 2.3GHz Processor,₹759,24% off
"Infinix S4 (Space Gray, 64 GB)",Triple Card Slot,"₹8,999",18% off
"Redmi 7A (Matte Black, 16 GB)",Fast Charging,"₹5,999",7% off
"Realme 3 (Radiant Blue, 64 GB)",Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"₹9,999",16% off
